# Output of program pedigree.exe (v2.75)
#
# analysis of four-way cross
# population type: C4S3
# parent list: 
par	name
1	BLACK
2	BLUE
3	GREEN
4	RED
# Number of individuals: 10
# List with individuals: 
indnr	name
1	cross0001
2	cross0002
3	cross0003
4	cross0004
5	cross0005
6	cross0006
7	cross0007
8	cross0008
9	cross0009
10	cross0010
# Number of markers or evaluation points: 21
posnr  chr      posmap
    1    1       0.000
    2    1       5.000
    3    1      10.000
    4    1      15.000
    5    1      20.000
    6    1      25.000
    7    1      30.000
    8    1      35.000
    9    1      40.000
   10    1      45.000
   11    1      50.000
   12    1      55.000
   13    1      60.000
   14    1      65.000
   15    1      70.000
   16    1      75.000
   17    1      80.000
   18    1      85.000
   19    1      90.000
   20    1      95.000
   21    1     100.000
#
# description of columns with IBD probabilities: 
#  column  1: both alleles inherited from parent 1
#  column  2: both alleles inherited from parent 2
#  column  3: both alleles inherited from parent 3
#  column  4: both alleles inherited from parent 4
#  column  5: heterozygous, parents 1 and 3
#  column  6: heterozygous, parents 1 and 4
#  column  7: heterozygous, parents 2 and 3
#  column  8: heterozygous, parents 2 and 4
# 
# probability random allele of an individual derived from parent i, 
# where c[k] refers to the columns as defined above: 
#
#  P(parent=1) = c[1] + 0.5*c[5] + 0.5*c[6]
#  P(parent=2) = c[2] + 0.5*c[7] + 0.5*c[8]
#  P(parent=3) = c[3] + 0.5*c[5] + 0.5*c[7]
#  P(parent=4) = c[4] + 0.5*c[6] + 0.5*c[8]
# 
# IBD-probabilities , evaluation point 1, chr 1, 0.000cM
0.000	0.000	0.000	0.000	0.000	0.920	0.080	0.000
0.000	0.000	0.000	0.000	0.000	0.326	0.674	0.000
0.000	0.085	0.000	0.883	0.000	0.000	0.000	0.031
0.000	0.085	0.000	0.883	0.000	0.000	0.000	0.031
0.000	0.944	0.000	0.030	0.000	0.000	0.000	0.026
0.000	0.111	0.000	0.854	0.000	0.000	0.000	0.035
0.000	0.915	0.000	0.056	0.000	0.000	0.000	0.029
0.594	0.000	0.356	0.000	0.050	0.000	0.000	0.000
0.000	0.883	0.000	0.070	0.000	0.000	0.000	0.047
0.000	0.888	0.000	0.075	0.000	0.000	0.000	0.037
# IBD-probabilities , evaluation point 2, chr 1, 5.000cM
0.103	0.005	0.024	0.146	0.028	0.658	0.028	0.008
0.028	0.025	0.333	0.070	0.074	0.182	0.282	0.007
0.028	0.042	0.017	0.880	0.000	0.014	0.001	0.017
0.028	0.042	0.017	0.880	0.000	0.014	0.001	0.017
0.003	0.955	0.005	0.013	0.000	0.000	0.010	0.014
0.032	0.056	0.023	0.856	0.001	0.011	0.001	0.020
0.004	0.946	0.003	0.028	0.000	0.000	0.003	0.016
0.588	0.005	0.323	0.030	0.044	0.008	0.002	0.000
0.004	0.927	0.003	0.035	0.000	0.000	0.003	0.028
0.004	0.931	0.003	0.039	0.000	0.000	0.002	0.021
# IBD-probabilities , evaluation point 3, chr 1, 10.000cM
0.174	0.000	0.040	0.260	0.035	0.491	0.000	0.000
0.045	0.000	0.648	0.108	0.100	0.100	0.000	0.000
0.050	0.000	0.028	0.898	0.001	0.023	0.000	0.000
0.050	0.000	0.028	0.898	0.001	0.023	0.000	0.000
0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000
0.060	0.000	0.039	0.880	0.002	0.019	0.000	0.000
0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000
0.596	0.000	0.296	0.056	0.039	0.013	0.000	0.000
0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000
# IBD-probabilities , evaluation point 4, chr 1, 15.000cM
0.214	0.001	0.037	0.344	0.028	0.372	0.000	0.003
0.044	0.003	0.704	0.110	0.081	0.049	0.008	0.002
0.055	0.003	0.028	0.884	0.001	0.027	0.000	0.003
0.055	0.003	0.028	0.884	0.001	0.027	0.000	0.003
0.001	0.523	0.028	0.005	0.001	0.000	0.376	0.067
0.066	0.004	0.040	0.864	0.002	0.021	0.000	0.003
0.002	0.989	0.002	0.002	0.000	0.000	0.002	0.002
0.609	0.005	0.262	0.075	0.032	0.015	0.002	0.001
0.002	0.985	0.001	0.003	0.000	0.000	0.003	0.005
0.002	0.988	0.002	0.003	0.000	0.000	0.002	0.004
# IBD-probabilities , evaluation point 5, chr 1, 20.000cM
0.239	0.000	0.031	0.419	0.020	0.291	0.000	0.000
0.035	0.000	0.791	0.093	0.060	0.020	0.000	0.000
0.059	0.000	0.024	0.887	0.001	0.029	0.000	0.000
0.059	0.000	0.024	0.887	0.001	0.029	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	0.896	0.104
